"","arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude"
"26",199111831,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",47,0,"25-44","F","BLACK",1025843,258906,40.877221709,-73.849598375
"27",199111847,"2019-06-30T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","Q",103,0,"18-24","M","BLACK",1043527,197279,40.7079717040001,-73.786195971
"28",199111850,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","Q",114,0,"25-44","M","WHITE",1005453,217759,40.7643573830001,-73.9234599339999
"29",199114870,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",52,0,"45-64","M","WHITE HISPANIC",1013557,254990,40.8665228410001,-73.894042452
"30",199116047,"2019-06-30T00:00:00.000",729,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113,"FORGERY","PL 1704001","F","B",49,0,"25-44","M","WHITE",1022964,255303,40.8673456870001,-73.8600298329999
"31",199119570,"2019-06-30T00:00:00.000",729,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113,"FORGERY","PL 1701501","F","K",70,0,"25-44","M","BLACK",994022,177141,40.6528906180001,-73.9647840709999
"32",199123975,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",5,0,"25-44","F","WHITE",986522,202977,40.7238096130001,-73.991804659
"33",199120803,"2019-06-30T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","K",75,2,"25-44","M","BLACK",1012413,182987,40.668897201,-73.898480256
"34",199120804,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","K",63,0,"25-44","M","BLACK",1006622,164098,40.617067497,-73.919418112
"35",199122422,"2019-06-30T00:00:00.000",748,"CONTEMPT,CRIMINAL",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2155002","M","M",33,0,"25-44","F","BLACK HISPANIC",1001889,245601,40.8407838580001,-73.936252607
"36",199122429,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","Q",105,0,"45-64","M","WHITE HISPANIC",1057635,177816,40.6544446670001,-73.7355222319999
"37",199106999,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",43,0,"25-44","M","BLACK HISPANIC",1017606,241641,40.8298694310001,-73.87946978
"38",199122431,"2019-06-30T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","Q",100,0,"45-64","M","WHITE",1036699,152454,40.584980156,-73.811172233
"39",199123973,"2019-06-30T00:00:00.000",793,"WEAPONS POSSESSION 3",118,"DANGEROUS WEAPONS","PL 2650201","F","M",17,0,"45-64","M","BLACK",993225,214758,40.7561412750001,-73.967606255
"40",199116058,"2019-06-30T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","M",18,0,"18-24","M","BLACK",986903,218556,40.7665699680001,-73.990423968
"41",199117253,"2019-06-30T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","M",10,0,"25-44","M","WHITE",984657,213194,40.7518530360001,-73.9985324799999
"42",199118359,"2019-06-30T00:00:00.000",759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 1950500","M","K",70,0,"18-24","M","BLACK",991591,169049,40.6306821590001,-73.97355397
"43",199111841,"2019-06-30T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201403","M","M",14,1,"25-44","M","BLACK",988331,211598,40.747471486,-73.9852730269999
"44",199126332,"2019-06-30T00:00:00.000",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",235,"DANGEROUS DRUGS","PL 2205002","M","Q",108,11,"25-44","M","WHITE",996424,210017,40.7431245990001,-73.956068073
"45",199126330,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",106,0,"45-64","M","BLACK",1027549,187209,40.68042454,-73.843891404
"46",199125297,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","Q",114,0,"45-64","F","WHITE",1005842,215168,40.757244814,-73.92206399
"47",199118357,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","B",46,0,"25-44","M","WHITE HISPANIC",1010534,249633,40.851829009,-73.9049930589999
"48",199117255,"2019-06-30T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","M",9,2,"25-44","F","BLACK HISPANIC",991225,202118,40.7214494080001,-73.974838343
"49",199117252,"2019-06-30T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553001","F","M",7,0,"25-44","M","WHITE HISPANIC",989193,201945,40.7209759340001,-73.982169141
"50",199112374,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",9,0,"25-44","M","WHITE HISPANIC",986821,205198,40.7299056370001,-73.990725096
"51",199110449,"2019-06-30T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,"VEHICLE AND TRAFFIC LAWS","VTL05110A4","M","Q",114,0,"25-44","M","BLACK",1007788,219633,40.7694951180001,-73.91502417
"52",199129639,"2019-06-30T00:00:00.000",175,"SEXUAL ABUSE 3,2",233,"SEX CRIMES","PL 13052A1","M","B",52,0,"25-44","M","WHITE HISPANIC",1017542,255919,40.869058532,-73.8796301479999
"53",199110217,"2019-06-30T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","S",122,0,"<18","M","BLACK HISPANIC",946451,142170,40.5568271770001,-74.1360296719999
"54",199107297,"2019-06-30T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651503","M","K",73,1,"18-24","F","BLACK",1011263,182761,40.6682804650001,-73.902626646
"55",199107014,"2019-06-30T00:00:00.000",969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,"OTHER TRAFFIC INFRACTION","VTL051101A","M","Q",112,0,"25-44","M","WHITE HISPANIC",1020456,205680,40.7311548860001,-73.869365123
"56",199107002,"2019-06-30T00:00:00.000",939,"LIGHTS,IMPROPER",881,"OTHER TRAFFIC INFRACTION","VTL0375012","I","B",45,0,"25-44","F","BLACK",1032091,241976,40.830722328,-73.827126059
"57",199106812,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"25-44","M","BLACK",987472,214939,40.7566420420001,-73.988371577
"58",199148466,"2019-06-30T00:00:00.000",203,"TRESPASS 3, CRIMINAL",352,"CRIMINAL TRESPASS","PL 140100A","M","M",5,0,"25-44","M","BLACK HISPANIC",984039,200929,40.718188636,-74.000762616
"59",199130917,"2019-06-30T00:00:00.000",750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2053000","M","B",43,0,"25-44","M","BLACK",1024657,244480,40.837632216,-73.8539739829999
"60",199127226,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","Q",100,0,"45-64","M","BLACK",1035329,152802,40.585943345,-73.816101923
"61",199109941,"2019-06-30T00:00:00.000",661,"LEWDNESS,PUBLIC",361,"OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","PL 2450000","M","M",6,0,"25-44","M","BLACK",982690,206113,40.732417324,-74.00563025
"62",199118361,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",72,0,"45-64","M","BLACK",985267,182345,40.6671797860001,-73.996335486
"63",199126321,"2019-06-30T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","K",83,0,"25-44","F","ASIAN / PACIFIC ISLANDER",1007128,193705,40.698330894,-73.9174950729999
"64",199118365,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",18,0,"18-24","M","BLACK",986903,218556,40.7665699680001,-73.990423968
"65",199118368,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"18-24","M","BLACK HISPANIC",987220,212676,40.7504307680001,-73.989282176
"66",199119568,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",41,0,"18-24","M","BLACK HISPANIC",1013086,236614,40.816087661,-73.8958243539999
"67",199119576,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","Q",113,0,"45-64","M","BLACK",1051031,186704,40.678892428,-73.759234851
"68",199120805,"2019-06-30T00:00:00.000",879,"ADM.CODE,UNCLASSIFIED VIOLATION",675,"ADMINISTRATIVE CODE","AC 010125B","V","K",60,0,"25-44","M","BLACK",990784,149362,40.576645978,-73.9764803959999
"69",199122427,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510D","F","Q",105,0,"45-64","M","WHITE HISPANIC",1057635,177816,40.6544446670001,-73.7355222319999
"70",199125282,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1205503","F","B",52,0,"45-64","M","WHITE",1019388,259017,40.877554428,-73.8729394709999
"71",199127219,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",32,0,"25-44","M","BLACK",1000472,237474,40.8184802860001,-73.9413934149999
"72",199130673,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",32,0,"45-64","M","BLACK",1000970,239324,40.823557086,-73.939589595
"73",199127223,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",115,0,"45-64","M","WHITE HISPANIC",1018312,213110,40.7515568860001,-73.877063342
"74",199129651,"2019-06-30T00:00:00.000",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",117,"DANGEROUS DRUGS","PL 2200601","F","S",121,0,"25-44","M","BLACK",948239,171255,40.6366669970001,-74.1297502
"75",199131296,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",77,0,"18-24","F","BLACK",996135,186849,40.679534339,-73.957151907
"76",199131303,"2019-06-30T00:00:00.000",105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","M",33,0,"25-44","M","WHITE",1001811,244415,40.837528788,-73.9365376119999
"77",199131487,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","K",78,0,"<18","M","BLACK",988709,187224,40.680570483,-73.9839249569999
"78",199131298,"2019-06-30T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 121110A","M","K",77,0,"18-24","M","BLACK",996135,186849,40.679534339,-73.957151907
"79",199130929,"2019-06-30T00:00:00.000",788,"FIREWORKS, SALE",363,"OFFENSES AGAINST PUBLIC SAFETY","PL 27002MA","M","Q",113,0,"25-44","M","BLACK",1047619,186242,40.677649429,-73.7715404749999
"80",199109943,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",106,0,"25-44","F","BLACK",1031898,186190,40.677605279,-73.82821878
"81",199110205,"2019-06-30T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","K",66,0,"25-44","M","WHITE",991971,170515,40.634705696,-73.972183265
"82",199106813,"2019-06-30T00:00:00.000",639,"AGGRAVATED HARASSMENT 2",361,"OFF. AGNST PUB ORD SENSBLTY &","PL 2403005","M","M",6,0,"25-44","M","BLACK HISPANIC",982746,206647,40.733883033,-74.0054283109999
"83",199110446,"2019-06-30T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL05110MU","M","B",44,0,"18-24","M","BLACK HISPANIC",1007441,246174,40.842343741,-73.916185237
"84",199125291,"2019-06-30T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,",109,"GRAND LARCENY","PL 1553501","F","M",18,0,"18-24","F","ASIAN / PACIFIC ISLANDER",990503,215519,40.7582323710001,-73.977430585
"85",199131290,"2019-06-30T00:00:00.000",203,"TRESPASS 3, CRIMINAL",352,"CRIMINAL TRESPASS","PL 140100A","M","K",78,0,"45-64","M","WHITE",987053,183711,40.6709287670001,-73.989896963
"86",199130931,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",100,0,"25-44","M","ASIAN / PACIFIC ISLANDER",1036597,154184,40.5897292550001,-73.8115260559999
"87",199130919,"2019-06-30T00:00:00.000",511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,"DANGEROUS DRUGS","PL 2200300","M","B",47,2,"25-44","M","BLACK",1026480,262584,40.8873136340001,-73.847271758
"88",199130916,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",43,2,"25-44","M","BLACK",1025622,237609,40.818768839,-73.850528931
"89",199130675,"2019-06-30T00:00:00.000",205,"TRESPASS 2, CRIMINAL",352,"CRIMINAL TRESPASS","PL 1401501","M","M",25,2,"18-24","F","WHITE",1000980,231749,40.802765805,-73.939572343
"90",199130663,"2019-06-30T00:00:00.000",203,"TRESPASS 3, CRIMINAL",352,"CRIMINAL TRESPASS","PL 140100E","M","B",49,2,"25-44","F","BLACK",1021316,253601,40.862681292,-73.86599763
"91",199127227,"2019-06-30T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,"VEHICLE AND TRAFFIC LAWS","VTL0511002","M","S",123,0,"25-44","M","WHITE HISPANIC",930599,134005,40.53433411,-74.193011771
"92",199127204,"2019-06-30T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201500","M","B",43,0,"25-44","F","BLACK",1018539,240851,40.8276975360001,-73.876102433
"93",199127203,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",52,0,"25-44","M","ASIAN / PACIFIC ISLANDER",1018154,260393,40.8813359440001,-73.877394749
"94",199126327,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","M",32,0,"25-44","M","BLACK",1000493,236572,40.8160045120001,-73.941319728
"95",199123977,"2019-06-30T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL05110MU","M","Q",115,0,"45-64","M","WHITE HISPANIC",1020429,212242,40.7491660390001,-73.8694272509999
"96",199120813,"2019-06-30T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","S",121,0,"45-64","M","WHITE HISPANIC",937077,149100,40.575803739,-74.169812399
"97",199120812,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","S",121,0,"18-24","M","WHITE HISPANIC",945876,170861,40.6355756290001,-74.1382619089999
"98",199120811,"2019-06-30T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650101","M","Q",101,0,"18-24","F","BLACK HISPANIC",1052109,161025,40.608401164,-73.7556066339999
"99",199120808,"2019-06-30T00:00:00.000",175,"SEXUAL ABUSE 3,2",233,"SEX CRIMES","PL 13052A1","M","Q",114,0,"45-64","M","BLACK",1007654,219564,40.7693060870001,-73.91550818
"100",199118369,"2019-06-30T00:00:00.000",490,"STOLEN PROPERTY 3,POSSESSION",232,"POSSESSION OF STOLEN PROPERTY 5","PL 1654000","M","M",18,0,"18-24","M","BLACK",988757,216332,40.76046491,-73.983732411
"101",199123974,"2019-06-30T00:00:00.000",490,"STOLEN PROPERTY 3,POSSESSION",232,"POSSESSION OF STOLEN PROPERTY 5","PL 1654000","M","M",13,97,"25-44","M","BLACK HISPANIC",991383,209177,40.740824511,-73.974260858
"102",199122415,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",52,0,"25-44","M","BLACK",1014472,254004,40.863813486,-73.890738734
"103",199119577,"2019-06-30T00:00:00.000",596,"OBSCENE MATERIAL - UNDER 17 YEARS OF AGE",116,"SEX CRIMES","PL 250453A","F","Q",103,6,"45-64","M","BLACK",1041749,196938,40.707047475,-73.792611904
"104",199131495,"2019-06-30T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 265031B","F","M",24,0,"25-44","M","WHITE",992782,229164,40.7956824030001,-73.9691869709999
"105",199109933,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",83,0,"25-44","M","WHITE HISPANIC",1008493,194448,40.7003666200001,-73.9125697169999
"106",199134228,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",6,0,"25-44","M","BLACK HISPANIC",983947,207626,40.7365702700001,-74.0010948029999
"107",199131657,"2019-06-30T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 121110A","M","K",76,0,"25-44","M","BLACK",983641,184891,40.6741680260001,-74.002196924
"108",199131293,"2019-06-30T00:00:00.000",198,"CRIMINAL CONTEMPT 1",126,"MISCELLANEOUS PENAL LAW","PL 21551B2","F","K",83,0,"45-64","M","BLACK HISPANIC",1004937,195338,40.702818489,-73.925391595
"109",199131292,"2019-06-30T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650101","M","K",73,0,"25-44","M","BLACK",1011000,182708,40.668135791,-73.9035749019999
"110",199131287,"2019-06-30T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","B",49,0,"<18","M","BLACK",1023043,251195,40.8560701310001,-73.8597679819999
"111",199131302,"2019-06-30T00:00:00.000",117,"RECKLESS ENDANGERMENT 1",126,"MISCELLANEOUS PENAL LAW","PL 1202500","F","M",6,0,"25-44","M","BLACK",981816,205918,40.731881899,-74.008783754
"112",199106802,"2019-06-30T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","K",83,0,"<18","M","WHITE HISPANIC",1007128,193705,40.698330894,-73.9174950729999
"113",199118358,"2019-06-30T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","B",52,0,"18-24","F","WHITE HISPANIC",1017440,256046,40.869407492,-73.879998313
"114",199107011,"2019-06-30T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",1,0,"25-44","F","WHITE HISPANIC",982936,200866,40.7180156200001,-74.004741607
"115",199107293,"2019-06-30T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL05110MU","M","B",52,0,"25-44","M","BLACK",1014004,255759,40.8686320150001,-73.892422919
