"","summons_key","summons_date","offense_description","law_section_number","law_description","summons_category_type","age_group","sex","race","jurisdiction_code","boro","precinct_of_occur","x_coordinate_cd","y_coordinate_cd","latitude","longitude"
"24",173193698,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","F","BLACK",0,"QUEENS",105,1064048,210710,40.744675069,-73.712020235
"25",173193628,"2017-12-31T00:00:00.000","UNATTENDED VEH. (ENGINE RUNNING)","1210","VTL","VTL","45-64","M","",0,"BRONX",45,1026676,244181,40.83680208,-73.846679393
"26",173138620,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","WHITE HISPANIC",0,"QUEENS",105,1054515,200150,40.7157714510001,-73.7465337309999
"27",173138645,"2017-12-31T00:00:00.000","TRESPASS","140.05","Penal Law","TRESPASS","25-44","M","WHITE HISPANIC",0,"BRONX",44,1005423,242397,40.8319820410001,-73.923490551
"28",173151585,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BROOKLYN",90,994869,194280,40.699932334,-73.961704562
"29",173193696,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","BLACK",0,"QUEENS",113,1041715,188851,40.684850817,-73.792803529
"30",173193702,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","F","BLACK",0,"QUEENS",105,1052834,182992,40.668690074,-73.752772271
"31",173193701,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","BLACK",0,"QUEENS",105,1052834,182992,40.668690074,-73.752772271
"32",173205855,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","WHITE HISPANIC",0,"BROOKLYN",83,1009438,191145,40.6912980160001,-73.9091739529999
"33",173193620,"2017-12-31T00:00:00.000","DISCON: OBSTRUCT PEDESTRIAN","240.205A","Penal Law","DISORDERLY CONDUCT","25-44","M","WHITE HISPANIC",0,"MANHATTAN",34,1003466,250306,40.8536944050001,-73.930539715
"34",173215241,"2017-12-31T00:00:00.000","KNIFE, ANY IN PUBLIC VIEW","10-133C","Administrative Code","KNIFE","25-44","M","BLACK",0,"BRONX",47,1025688,268587,40.903793691,-73.85009896
"35",173193551,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"36",173193549,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"37",173521219,"2017-12-31T00:00:00.000","FAILED TO DISPLAY BARBER LICENSE","439-3","General Business Law","BUSINESS","18-24","M","BLACK",0,"MANHATTAN",25,1002710,229592,40.796841984,-73.933329479
"38",173355896,"2017-12-31T00:00:00.000","DISCON: OBSTRUCT VEHICLE","240.205B","Penal Law","DISORDERLY CONDUCT","45-64","M","BLACK",0,"BRONX",47,1024887,267203,40.8999987870001,-73.8530049829999
"39",173274246,"2017-12-31T00:00:00.000","OTHER VTL","9999","VTL","VTL","25-44","M","BLACK",0,"BRONX",47,1022508,261990,40.8857014060001,-73.861640325
"40",173355899,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"BRONX",47,1026387,262634,40.887451313,-73.847607787
"41",173274237,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","U","WHITE",2,"BROOKLYN",77,1005118,185998,40.6771819190001,-73.92476773
"42",173193591,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"QUEENS",103,1037559,194576,40.70059059,-73.8077431999999
"43",173193629,"2017-12-31T00:00:00.000","UNATTENDED VEH. (ENGINE RUNNING)","1210","VTL","VTL","25-44","M","",0,"BRONX",45,1026550,244293,40.837110092,-73.847134033
"44",173193539,"2017-12-31T00:00:00.000","TRESPASS","140.05","Penal Law","TRESPASS","25-44","M","WHITE HISPANIC",0,"MANHATTAN",23,999165,225481,40.78556509,-73.946142079
"45",173274249,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","18-24","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",47,1024708,266922,40.899228355,-73.8536541779999
"46",173193519,"2017-12-31T00:00:00.000","VENDOR: UNLICENSED","20-453","Administrative Code","VENDING","25-44","M","",0,"BRONX",46,1011383,251919,40.858100827,-73.901914941
"47",173274241,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"BRONX",43,1025519,242145,40.831219337,-73.850873158
"48",173193678,"2017-12-31T00:00:00.000","URINATING IN PUBLIC","16-1186","Administrative Code","URINATING","25-44","M","BLACK",0,"BROOKLYN",79,998761,189820,40.687685141,-73.947677872
"49",173193574,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"QUEENS",105,1055162,191613,40.692334327,-73.74428971
"50",173135645,"2017-12-31T00:00:00.000","DISORDERLY CONDUCT","240.20","Penal Law","DISORDERLY CONDUCT","25-44","M","WHITE HISPANIC",0,"QUEENS",114,1006432,215383,40.7578334730001,-73.9199336459999
"51",173135648,"2017-12-31T00:00:00.000","DISORDERLY CONDUCT","240.20","Penal Law","DISORDERLY CONDUCT","18-24","M","WHITE HISPANIC",0,"QUEENS",114,1006432,215383,40.7578334730001,-73.9199336459999
"52",173193550,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"53",173193559,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","45-64","M","BLACK HISPANIC",0,"QUEENS",113,1042383,189913,40.687761395,-73.79038581
"54",173138635,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK HISPANIC",0,"BRONX",44,1007976,242140,40.8312701610001,-73.914265926
"55",173193546,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"56",173193547,"2017-12-31T00:00:00.000","OTHER ABC","9999","ABC","OTHER ABC","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"57",173135621,"2017-12-31T00:00:00.000","DISORDERLY CONDUCT","240.20","Penal Law","DISORDERLY CONDUCT","18-24","M","WHITE",0,"QUEENS",114,1006432,215383,40.7578334730001,-73.9199336459999
"58",173135605,"2017-12-31T00:00:00.000","CONSUMPTION OF ALCOHOL","10-125","Administrative Code","ALCOHOL","18-24","M","UNKNOWN",0,"BRONX",48,1016402,247804,40.8467895300001,-73.883790877
"59",173193656,"2017-12-31T00:00:00.000","UNLICENSED VEHICLE FOR HIRE","19-506","Administrative Code","TLC","65+","M","BLACK HISPANIC",0,"BRONX",42,1010106,241483,40.8294609060001,-73.906571562
"60",173193684,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","BLACK",0,"QUEENS",113,1049416,183677,40.670596059,-73.765086674
"61",173215227,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","<18","M","ASIAN / PACIFIC ISLANDER",0,"BROOKLYN",72,983139,172750,40.64084359,-74.004004659
"62",173215242,"2017-12-31T00:00:00.000","DISCON: FIGHTING","240.20-1","Penal Law","DISORDERLY CONDUCT","18-24","M","UNKNOWN",0,"BRONX",45,1031928,260783,40.8823427090001,-73.8275813
"63",173274248,"2017-12-31T00:00:00.000","EXPOSURE OF PERSON","245.01","Penal Law","EXPOSURE","45-64","M","BLACK",0,"BRONX",47,1024268,266204,40.8972596840001,-73.855250063
"64",173130434,"2017-12-31T00:00:00.000","DISORDERLY PREMISE","106-6","ABC","ABC","25-44","F","UNKNOWN",0,"BRONX",40,1006075,236932,40.8169805840001,-73.921152255
"65",173358882,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","BLACK",0,"BROOKLYN",79,1001139,192775,40.695791716,-73.939095905
"66",173617964,"2017-12-31T00:00:00.000","REVOKED REGISTRATION","510-7","VTL","VTL","25-44","M","WHITE HISPANIC",0,"BROOKLYN",60,984357,148759,40.5749932680001,-73.9996162699999
"67",174005250,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","WHITE HISPANIC",0,"BRONX",41,1012698,240250,40.826068707,-73.897210684
"68",173135643,"2017-12-31T00:00:00.000","SPITTING IN PUBLIC","181.03","Health Code","SPITTING","25-44","F","BLACK",2,"BRONX",45,1032218,239444,40.8237720330001,-73.826685244
"69",173130432,"2017-12-31T00:00:00.000","DISCON: REFUSE LAWFUL ORDER","240.20-6","Penal Law","DISORDERLY CONDUCT","18-24","M","UNKNOWN",0,"BRONX",40,1006075,236932,40.8169805840001,-73.921152255
"70",173193538,"2017-12-31T00:00:00.000","TRESPASS","140.05","Penal Law","TRESPASS","45-64","F","WHITE HISPANIC",0,"MANHATTAN",23,999165,225481,40.78556509,-73.946142079
"71",173521218,"2017-12-31T00:00:00.000","FAILED TO DISPLAY BARBER LICENSE","439-3","General Business Law","BUSINESS","18-24","M","BLACK",0,"MANHATTAN",25,1002710,229592,40.796841984,-73.933329479
"72",173193625,"2017-12-31T00:00:00.000","OTHER HEALTH CODE","9999","Health Code","OTHER HEALTH CODE","18-24","M","BLACK",0,"MANHATTAN",25,1002710,229592,40.796841984,-73.933329479
"73",173193552,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"74",173215244,"2017-12-31T00:00:00.000","DISCON: OBSTRUCT VEHICLE","240.205B","Penal Law","DISORDERLY CONDUCT","45-64","M","BLACK",0,"BRONX",47,1021569,259724,40.879485969,-73.865048863
"75",173193685,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","BLACK",0,"QUEENS",113,1049760,184785,40.67363472,-73.763835838
"76",173193700,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"QUEENS",105,1052834,182992,40.668690074,-73.752772271
"77",173193699,"2017-12-31T00:00:00.000","EXPOSURE OF PERSON","245.01","Penal Law","EXPOSURE","45-64","M","WHITE HISPANIC",0,"QUEENS",105,1060178,206639,40.733535311,-73.726032446
"78",173193600,"2017-12-31T00:00:00.000","RECKLESS DRIVING","1212","VTL","VTL","45-64","M","WHITE",0,"QUEENS",102,1024463,187389,40.680933155,-73.855016561
"79",173193654,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","BLACK HISPANIC",0,"BRONX",52,1009562,254560,40.865354981,-73.908487926
"80",173193553,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"81",173193650,"2017-12-31T00:00:00.000","DISCON: OBSTRUCT PEDESTRIAN","240.205A","Penal Law","DISORDERLY CONDUCT","25-44","M","BLACK HISPANIC",0,"BRONX",46,1009886,250359,40.8538235670001,-73.907332598
"82",173193623,"2017-12-31T00:00:00.000","OTHER HEALTH CODE","9999","Health Code","OTHER HEALTH CODE","18-24","M","BLACK",0,"MANHATTAN",25,1002710,229592,40.796841984,-73.933329479
"83",173138633,"2017-12-31T00:00:00.000","OTHER TRAFFIC REG","9999","Traffic Regs","OTHER TRAFFIC REG","25-44","M","BLACK HISPANIC",0,"BRONX",44,1011111,246850,40.844188762,-73.902918535
"84",173193697,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","18-24","M","ASIAN / PACIFIC ISLANDER",0,"QUEENS",113,1041757,188022,40.682575134,-73.792659167
"85",173193557,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"86",173274239,"2017-12-31T00:00:00.000","OTHER VTL","9999","VTL","VTL","25-44","M","BLACK",0,"BRONX",47,1022508,261990,40.8857014060001,-73.861640325
"87",173138644,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"BRONX",44,1006657,242805,40.8330988390001,-73.919029999
"88",173138624,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BRONX",45,1032047,242037,40.830889993,-73.8272846199999
"89",173135586,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"QUEENS",107,1045552,199428,40.713856384,-73.7788724869999
"90",173135562,"2017-12-31T00:00:00.000","DISCON: OBSTRUCT PEDESTRIAN","240.205A","Penal Law","DISORDERLY CONDUCT","45-64","M","BLACK",0,"BROOKLYN",67,1002515,176357,40.6507252650001,-73.9341782289999
"91",173135606,"2017-12-31T00:00:00.000","UNLICENSED VEHICLE FOR HIRE","19-506","Administrative Code","TLC","18-24","M","BLACK",0,"BRONX",48,1017978,244925,40.838881644,-73.878109049
"92",173151587,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BROOKLYN",90,994869,194280,40.699932334,-73.961704562
"93",173193677,"2017-12-31T00:00:00.000","URINATING IN PUBLIC","16-1186","Administrative Code","URINATING","45-64","M","BLACK",2,"BROOKLYN",79,1001477,193239,40.697064637,-73.937875815
"94",173138619,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","WHITE",0,"QUEENS",105,1054515,200150,40.7157714510001,-73.7465337309999
"95",173193544,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"",52,1017542,255919,40.869058532,-73.8796301479999
"96",173215226,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","WHITE HISPANIC",0,"BROOKLYN",72,981872,174919,40.64679678,-74.008570748
"97",173193558,"2017-12-31T00:00:00.000","KNIFE, ANY IN PUBLIC VIEW","10-133C","Administrative Code","KNIFE","18-24","M","WHITE HISPANIC",0,"BRONX",46,1011923,250786,40.8549894060001,-73.8999675049999
"98",173193548,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"99",173138623,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","WHITE HISPANIC",0,"QUEENS",105,1055005,200297,40.7161710250001,-73.744764613
"100",173135620,"2017-12-31T00:00:00.000","DISORDERLY CONDUCT","240.20","Penal Law","DISORDERLY CONDUCT","25-44","M","WHITE HISPANIC",0,"QUEENS",114,1006432,215383,40.7578334730001,-73.9199336459999
"101",173130453,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","WHITE",0,"QUEENS",111,1047718,218256,40.7655191270001,-73.770881674
"102",173193565,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","18-24","M","WHITE HISPANIC",0,"QUEENS",113,1048111,188479,40.6837859300001,-73.769745503
"103",173130385,"2017-12-31T00:00:00.000","AGG. UNLICENSED OPER.","511","VTL","VTL","18-24","M","",0,"BROOKLYN",75,1018767,184224,40.6722699950001,-73.875569231
"104",173350166,"2017-12-31T00:00:00.000","FIREWORKS, POSSESS/USE","270","Penal Law","FIREWORKS","18-24","M","WHITE",0,"BROOKLYN",61,996515,160064,40.606014751,-73.955830565
"105",173193694,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","BLACK",0,"QUEENS",113,1041715,188851,40.684850817,-73.792803529
"106",173130431,"2017-12-31T00:00:00.000","DISCON: REFUSE LAWFUL ORDER","240.20-6","Penal Law","DISORDERLY CONDUCT","18-24","M","UNKNOWN",0,"BRONX",40,1006075,236932,40.8169805840001,-73.921152255
"107",173138636,"2017-12-31T00:00:00.000","JAYWALKING","4-04","Traffic Regs","TRAFFIC REGS","18-24","M","BLACK",0,"BRONX",44,1008053,241673,40.8299881730001,-73.913989339
"108",173130409,"2017-12-31T00:00:00.000","DISCON: FIGHTING","240.20-1","Penal Law","DISORDERLY CONDUCT","18-24","M","",0,"BRONX",40,1006075,236932,40.8169805840001,-73.921152255
"109",173151586,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BROOKLYN",90,994869,194280,40.699932334,-73.961704562
"110",173130311,"2017-12-31T00:00:00.000","OTHER TRANSIT REG","9999","Transit Regs","OTHER TRANSIT REG","18-24","M","ASIAN / PACIFIC ISLANDER",1,"MANHATTAN",19,998908,225000,40.784245303,-73.947071178
"111",173193622,"2017-12-31T00:00:00.000","OTHER HEALTH CODE","9999","Health Code","OTHER HEALTH CODE","18-24","M","BLACK",0,"MANHATTAN",25,1002710,229592,40.796841984,-73.933329479
"112",173193664,"2017-12-31T00:00:00.000","DISCON: OBSTRUCT VEHICLE","240.205B","Penal Law","DISORDERLY CONDUCT","25-44","M","ASIAN / PACIFIC ISLANDER",0,"MANHATTAN",5,983202,200110,40.7159406170001,-74.003781913
"113",173193542,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"QUEENS",105,1055162,191613,40.692334327,-73.74428971
"114",173274247,"2017-12-31T00:00:00.000","OTHER VTL","9999","VTL","VTL","45-64","M","BLACK HISPANIC",0,"BRONX",47,1022294,261475,40.8842888190001,-73.862417185
"115",173151582,"2017-12-31T00:00:00.000","IDLING OF VEHICLE","24-163","Administrative Code","TLC","25-44","M","ASIAN / PACIFIC ISLANDER",0,"QUEENS",110,1020429,212242,40.7491660390001,-73.8694272509999
"116",173151576,"2017-12-31T00:00:00.000","DISCON: FIGHTING","240.20-1","Penal Law","DISORDERLY CONDUCT","<18","M","BLACK",0,"BROOKLYN",73,1008055,181260,40.664169762,-73.914195939
"117",173138625,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BRONX",45,1032047,242037,40.830889993,-73.8272846199999
"118",173138602,"2017-12-31T00:00:00.000","RECKLESS DRIVING","1212","VTL","VTL","25-44","M","BLACK HISPANIC",0,"BRONX",44,1007276,245280,40.8398904040001,-73.916784644
"119",173130410,"2017-12-31T00:00:00.000","DISCON: REFUSE LAWFUL ORDER","240.20-6","Penal Law","DISORDERLY CONDUCT","18-24","M","UNKNOWN",0,"BRONX",40,1006075,236932,40.8169805840001,-73.921152255
"120",173358881,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","BLACK",2,"BROOKLYN",79,999634,190253,40.688872153,-73.9445290319999
"121",173193556,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"122",173215235,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","WHITE HISPANIC",0,"BROOKLYN",67,998608,171942,40.6386142370001,-73.948267625
"123",173215234,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","BLACK",0,"BROOKLYN",67,999899,175831,40.649286518,-73.943606959
"124",173215233,"2017-12-31T00:00:00.000","URINATING IN PUBLIC","16-1186","Administrative Code","URINATING","25-44","M","BLACK",0,"BROOKLYN",67,1004559,177850,40.6548187720001,-73.92680759
"125",173215228,"2017-12-31T00:00:00.000","ACCEPT ON HAIL","19-507","Administrative Code","TLC","25-44","M","",0,"BROOKLYN",70,995708,176233,40.650396334,-73.958709429
"126",173193578,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","UNKNOWN",0,"QUEENS",113,1052479,192205,40.693980315,-73.753958675
"127",173135550,"2017-12-31T00:00:00.000","RECKLESS DRIVING","1212","VTL","VTL","25-44","M","ASIAN / PACIFIC ISLANDER",0,"MANHATTAN",10,984140,211709,40.747777093,-74.0003984429999
"128",173135584,"2017-12-31T00:00:00.000","REVOKED REGISTRATION","510-7","VTL","VTL","25-44","M","BLACK",0,"BROOKLYN",69,1007173,173009,40.641524899,-73.917403162
"129",173138607,"2017-12-31T00:00:00.000","FIREWORKS, POSSESS/USE","270","Penal Law","FIREWORKS","45-64","M","BLACK HISPANIC",0,"BRONX",44,1006012,242351,40.831854352,-73.921362286
"130",173193580,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","BLACK",0,"QUEENS",113,1042383,189913,40.687761395,-73.79038581
"131",173193555,"2017-12-31T00:00:00.000","OTHER ADMIN CODE","9999","Administrative Code","OTHER ADMIN CODE","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",42,1010042,241269,40.8288737250001,-73.9068036479999
"132",173135582,"2017-12-31T00:00:00.000","REVOKED REGISTRATION","510-7","VTL","VTL","45-64","M","BLACK",0,"BROOKLYN",69,1009550,169807,40.632729623,-73.908850147
"133",173193535,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","ASIAN / PACIFIC ISLANDER",0,"BRONX",45,1026294,243759,40.835645641,-73.848062534
