"","arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude"
"19",173116160,"2017-12-31T00:00:00.000",904,"INTOXICATED DRIVING,ALCOHOL",119,"INTOXICATED/IMPAIRED DRIVING","VTL11920E2","F","Q",115,0,"25-44","M","WHITE HISPANIC",1019944,214785,40.756147894,-73.871164171
"20",173113522,"2017-12-31T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650101","M","M",23,0,"18-24","M","BLACK",1001666,229217,40.795814831,-73.937101065
"21",173116157,"2017-12-31T00:00:00.000",511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,"DANGEROUS DRUGS","PL 2200300","M","Q",104,0,"45-64","M","WHITE",1013701,195936,40.7044350300001,-73.8937807139999
"22",173124318,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",7,0,"45-64","F","WHITE",988049,200071,40.7158328180001,-73.9862972779999
"23",173116159,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q",100,0,"45-64","F","BLACK",1038797,153050,40.5866033930001,-73.803614134
"24",173129128,"2017-12-31T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","M",18,0,"25-44","M","BLACK HISPANIC",986034,216056,40.759708329,-73.99356177
"25",173128431,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","M",34,0,"25-44","M","WHITE HISPANIC",1006797,253850,40.863413741,-73.918486947
"26",173127729,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","Q",106,0,"25-44","F","WHITE HISPANIC",1038101,181874,40.665723292,-73.80589
"27",173127002,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","M",23,0,"45-64","M","BLACK",1000700,227655,40.791529414,-73.940593737
"28",173123528,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553001","F","M",14,0,"25-44","M","WHITE HISPANIC",987220,212676,40.7504307680001,-73.989282176
"29",173121851,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",52,0,"25-44","M","WHITE HISPANIC",1014313,254123,40.864140648,-73.891313038
"30",173121081,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553004","F","K",90,0,"25-44","M","BLACK",998016,196598,40.706290365,-73.950350331
"31",173120429,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","Q",106,0,"45-64","M","BLACK",1033414,188276,40.6833225760001,-73.822738026
"32",173120428,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","Q",103,0,"45-64","M","BLACK",1045673,199466,40.713959845,-73.778435671
"33",173120427,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",17,0,"25-44","M","BLACK",992033,214074,40.754264999,-73.971909562
"34",173120424,"2017-12-31T00:00:00.000",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117,"DANGEROUS DRUGS","PL 2201601","F","M",6,0,"25-44","M","BLACK",984037,205508,40.730756883,-74.000769976
"35",173120423,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201500","M","K",67,0,"45-64","M","BLACK",1003257,177086,40.652724649,-73.9315021629999
"36",173119700,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","Q",103,0,"25-44","M","BLACK HISPANIC",1041879,197084,40.7074473640001,-73.792141768
"37",173117783,"2017-12-31T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 121110A","M","B",44,0,"25-44","M","WHITE HISPANIC",1008274,245226,40.8397395310001,-73.913178032
"38",173116543,"2017-12-31T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","Q",106,0,"<18","M","WHITE HISPANIC",1026310,186741,40.6791459610001,-73.848361402
"39",173116539,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",105,0,"25-44","F","WHITE HISPANIC",1057302,184509,40.6728181440001,-73.736649837
"40",173116274,"2017-12-31T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","Q",106,0,"<18","M","WHITE HISPANIC",1026285,187525,40.6812979800001,-73.848446644
"41",173116152,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",1,0,"25-44","M","BLACK",982383,198038,40.7102533340001,-74.0067357289999
"42",173116146,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",47,0,"25-44","F","BLACK",1023210,257960,40.8746372480001,-73.859124964
"43",173115855,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","Q",104,0,"45-64","M","WHITE HISPANIC",1013640,206072,40.7322561020001,-73.8939564679999
"44",173113527,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",105,0,"25-44","M","BLACK",1054680,205284,40.729861671,-73.745884803
"45",173129120,"2017-12-31T00:00:00.000",750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2053000","M","B",43,0,"25-44","M","WHITE HISPANIC",1017824,238944,40.8224661130001,-73.878695534
"46",173129122,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","B",43,0,"25-44","M","WHITE HISPANIC",1022022,240901,40.827820563,-73.8635167849999
"47",173129126,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",78,0,"45-64","F","BLACK",990287,184429,40.672897902,-73.978238136
"48",173129247,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","B",42,2,"<18","M","BLACK",1012076,239818,40.8248849720001,-73.899459937
"49",173113521,"2017-12-31T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651503","M","M",19,1,"25-44","F","WHITE HISPANIC",995369,221138,40.7736502930001,-73.959856952
"50",173114444,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456002","M","B",40,0,"18-24","M","WHITE HISPANIC",1006075,236932,40.8169805840001,-73.921152255
"51",173114460,"2017-12-31T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651503","M","M",24,0,"25-44","M","BLACK",992586,227883,40.7921665900001,-73.9698964409999
"52",173115841,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456002","M","K",66,0,"25-44","M","WHITE",990399,164172,40.6172967210001,-73.9778528379999
"53",173115846,"2017-12-31T00:00:00.000",567,"MARIJUANA, POSSESSION 4 & 5",235,"DANGEROUS DRUGS","PL 2211500","M","K",79,0,"25-44","M","BLACK",998034,188480,40.68400831,-73.9503020189999
"54",173116026,"2017-12-31T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 121110A","M","B",46,0,"18-24","M","BLACK",1012078,252019,40.858373133,-73.899402084
"55",173116029,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",49,0,"25-44","M","WHITE HISPANIC",1021177,247658,40.8463701260001,-73.8665328879999
"56",173116030,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL119202X","M","K",77,0,"25-44","M","WHITE HISPANIC",1004127,182891,40.668656183,-73.928349662
"57",173117787,"2017-12-31T00:00:00.000",748,"CONTEMPT,CRIMINAL",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2155003","M","M",30,0,"25-44","M","WHITE HISPANIC",999357,238995,40.82265698,-73.945418344
"58",173119054,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",33,0,"25-44","M","WHITE HISPANIC",1000478,248304,40.8482055060001,-73.9413455389999
"59",173122745,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"25-44","M","WHITE",987655,212901,40.7510481800001,-73.987712067
"60",173123523,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",79,0,"65+","F","WHITE",1000245,187997,40.6826788660001,-73.9423312119999
"61",173124311,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200506","F","B",43,0,"45-64","M","WHITE HISPANIC",1018624,241853,40.8304474070001,-73.875790162
"62",173128425,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","B",48,0,"18-24","M","WHITE HISPANIC",1016402,247804,40.8467895300001,-73.883790877
"63",173127014,"2017-12-31T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","Q",104,0,"25-44","M","WHITE",1017324,198914,40.7125961290001,-73.880699051
"64",173127011,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",101,0,"25-44","M","WHITE HISPANIC",1044074,156299,40.595487179,-73.784586491
"65",173116154,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",20,0,"45-64","M","WHITE",991040,225092,40.784507365,-73.975482557
"66",173134156,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U3","M","Q",115,0,"18-24","M","WHITE HISPANIC",1020498,217613,40.763907768,-73.869149267
"67",173113507,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,"VEHICLE AND TRAFFIC LAWS","VTL05110A2","M","B",46,0,"25-44","M","BLACK HISPANIC",1014295,253237,40.8617089090001,-73.891382086
"68",173113508,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","B",48,0,"25-44","M","WHITE",1015457,250526,40.8542639990001,-73.887193823
"69",173114445,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456002","M","B",40,0,"18-24","M","BLACK HISPANIC",1006075,236932,40.8169805840001,-73.921152255
"70",173114455,"2017-12-31T00:00:00.000",969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,"OTHER TRAFFIC INFRACTION","VTL051101A","M","K",90,0,"65+","M","BLACK",999153,195479,40.703217131,-73.9462518839999
"71",173116035,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",30,0,"45-64","M","WHITE HISPANIC",998981,242209,40.8314791280001,-73.9467698129999
"72",173116039,"2017-12-31T00:00:00.000",681,"CHILD, ENDANGERING WELFARE",233,"SEX CRIMES","PL 2601001","M","Q",115,0,"25-44","M","WHITE HISPANIC",1018699,215043,40.756860977,-73.875656664
"73",173116271,"2017-12-31T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651502","M","M",14,0,"18-24","M","ASIAN / PACIFIC ISLANDER",987404,215746,40.758857075,-73.988616647
"74",173124320,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","Q",104,0,"25-44","F","WHITE",1010150,194348,40.7000874500001,-73.90659418
"75",173116540,"2017-12-31T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 2155100","F","Q",100,0,"25-44","F","WHITE HISPANIC",1034278,159535,40.604430033,-73.819835967
"76",173117301,"2017-12-31T00:00:00.000",750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2053000","M","B",46,0,"25-44","M","BLACK HISPANIC",1007610,250032,40.8529323650001,-73.9155610029999
"77",173121077,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200002","M","B",43,0,"25-44","M","BLACK",1019071,240911,40.8278601370001,-73.8741798089999
"78",173121080,"2017-12-31T00:00:00.000",263,"ARSON 2,3,4",114,"ARSON","PL 1500501","F","K",67,71,"45-64","M","BLACK HISPANIC",996876,177505,40.65388611,-73.9544978439999
"79",173121853,"2017-12-31T00:00:00.000",759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2052001","M","B",41,72,"25-44","F","WHITE HISPANIC",1017934,232221,40.804012949,-73.8783318329999
"80",173122737,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","K",68,0,"25-44","M","WHITE",977236,171575,40.637615758,-74.0252734539999
"81",173122744,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",18,0,"25-44","M","WHITE HISPANIC",987910,216657,40.761357343,-73.986789673
"82",173129131,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456500","M","Q",104,0,"18-24","F","WHITE",1008555,201367,40.719357458,-73.9123211409999
"83",173129132,"2017-12-31T00:00:00.000",681,"CHILD, ENDANGERING WELFARE",233,"SEX CRIMES","PL 2601001","M","Q",101,0,"25-44","M","BLACK",1053678,159044,40.6029515910001,-73.749976261
"84",173129133,"2017-12-31T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 2155100","F","Q",115,0,"25-44","M","WHITE HISPANIC",1021129,212565,40.7500497010001,-73.866899103
"85",173130598,"2017-12-31T00:00:00.000",793,"WEAPONS POSSESSION 3",118,"DANGEROUS WEAPONS","PL 2650201","F","M",7,2,"25-44","M","WHITE HISPANIC",988733,198985,40.7128516870001,-73.983830602
"86",173116544,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601001","F","Q",114,0,"18-24","F","WHITE HISPANIC",1006579,215870,40.7591697930001,-73.91940142
"87",173117303,"2017-12-31T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 2155100","F","K",83,0,"25-44","F","BLACK",1007128,193705,40.698330894,-73.9174950729999
"88",173117306,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601001","F","Q",114,0,"25-44","F","WHITE",1006579,215870,40.7591697930001,-73.91940142
"89",173117309,"2017-12-31T00:00:00.000",750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2053000","M","Q",114,0,"18-24","F","WHITE HISPANIC",1007550,219173,40.768233169,-73.915884997
"90",173117788,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",34,0,"25-44","M","BLACK",1006209,253743,40.8631215410001,-73.920613101
"91",173121086,"2017-12-31T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","Q",106,0,"<18","M","WHITE",1028605,187930,40.682398289,-73.840079369
"92",173121859,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"25-44","M","WHITE",987220,212676,40.7504307680001,-73.989282176
"93",173123522,"2017-12-31T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","K",62,0,"25-44","M","ASIAN / PACIFIC ISLANDER",986344,160954,40.608465858,-73.9924598819999
"94",173124317,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",23,0,"25-44","M","BLACK",999569,227672,40.7915781070001,-73.9446782039999
"95",173124322,"2017-12-31T00:00:00.000",500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,"DANGEROUS DRUGS","PL 2202101","F","Q",105,0,"25-44","F","WHITE HISPANIC",1050931,202071,40.7210718540001,-73.759443236
"96",173126360,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",71,0,"45-64","F","BLACK",1003292,180090,40.6609698950001,-73.9313675449999
"97",173126998,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200512","F","K",77,0,"45-64","M","BLACK",993974,184839,40.674019979,-73.964945958
"98",173128429,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","K",72,0,"25-44","M","WHITE HISPANIC",979695,175314,40.647880118,-74.016416003
"99",173128432,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",32,2,"25-44","M","WHITE HISPANIC",1000641,237827,40.8194488610001,-73.940781977
"100",173129344,"2017-12-31T00:00:00.000",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117,"DANGEROUS DRUGS","PL 2201601","F","K",79,0,"25-44","M","WHITE HISPANIC",996079,187562,40.681491437,-73.957352554
"101",173130584,"2017-12-31T00:00:00.000",793,"WEAPONS POSSESSION 3",118,"DANGEROUS WEAPONS","PL 2650201","F","K",83,0,"25-44","M","BLACK HISPANIC",1007657,192892,40.6960980150001,-73.9155901339999
"102",173165717,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 2650802","F","B",47,0,"<18","M","BLACK",1024906,263255,40.8891627080001,-73.852960227
"103",173116156,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",110,0,"25-44","F","BLACK HISPANIC",1020728,211337,40.746680816,-73.868353037
"104",173116036,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",7,0,"25-44","M","WHITE",986760,200793,40.717814995,-73.990946831
"105",173115849,"2017-12-31T00:00:00.000",849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,"OTHER STATE LAWS","LOC000000V","V","K",69,1,"45-64","M","BLACK HISPANIC",1011359,174331,40.64514168,-73.9023144779999
"106",173121855,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",14,0,"25-44","M","BLACK",986685,215375,40.7578390030001,-73.991212111
"107",173114458,"2017-12-31T00:00:00.000",511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,"DANGEROUS DRUGS","PL 2200300","M","M",34,0,"18-24","M","BLACK",1006854,254559,40.8653595860001,-73.9182784819999
"108",173115844,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","K",70,0,"25-44","M","BLACK",995708,176233,40.650396334,-73.958709429
"109",173115847,"2017-12-31T00:00:00.000",117,"RECKLESS ENDANGERMENT 1",126,"MISCELLANEOUS PENAL LAW","PL 1202500","F","K",77,0,"25-44","M","BLACK HISPANIC",998951,186113,40.677509956,-73.9470008589999
"110",173116147,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",47,0,"25-44","F","BLACK",1023210,257960,40.8746372480001,-73.859124964
"111",173116153,"2017-12-31T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 16515M9","M","M",32,0,"18-24","M","BLACK HISPANIC",999428,236544,40.815929553,-73.9451673569999
"112",173116273,"2017-12-31T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","Q",106,0,"<18","M","WHITE HISPANIC",1026310,186741,40.6791459610001,-73.848361402
"113",173119694,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",30,0,"18-24","M","WHITE HISPANIC",998981,242209,40.8314791280001,-73.9467698129999
"114",173122735,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","B",44,0,"65+","M","WHITE HISPANIC",1008653,241418,40.829286634,-73.911822168
"115",173114459,"2017-12-31T00:00:00.000",793,"WEAPONS POSSESSION 3",118,"DANGEROUS WEAPONS","PL 2650201","F","M",23,0,"25-44","M","BLACK",999042,228736,40.794499397,-73.946579075
